id,address,description,longitude,latitude
POZ07B,Głogowska 268 60-104 Poznań,Stacja paliw AMIC ENERGY,16.86899,52.37494
POZ77M,Głogowska 267 60-104 Poznań,Przy wypożyczalni Ramirent,16.8689,52.37391
POZ229M,Mrągowska 4 60-161 Poznań,Na parkingu Parku Handlowego KOPERNIK,16.8658,52.38095
POZ51A,Kacza 15 60-106 Poznań,Na terenie myjni samoobsługowej Banieczka.,16.86187,52.38195
POZ137M,Fabianowo 87 60-005 Poznań,Na parkingu przy sklepie Żabka,16.85529,52.36583
POZ144M,Rawicka 11 60-113 Poznań,Na parkingu przy Akubat System,16.87249,52.37443
POZ151M,Newtona 1a 60-161 Poznań,Przy bloku mieszkalnym Newtona 1a,16.86514,52.38294
POZ01N,Wieruszowska 20 60-166 Poznań,Stacja paliw Watis,16.84755,52.38172
POZ188M,Krośnieńska 1c 60-162 Poznań,Na posesji ul. Krośnieńska 1c,16.85978,52.3846
POZ35M,Fabianowo 12 60-005 Poznań,Przy sklepie spożywczym,16.84585,52.36865
POZ13M,Głogowska 228-234 60-104 Poznań,Przy Lidlu,16.87393,52.37856
POZ12ML,Pszczyńska 40 60-102 Poznań,Market Dino,16.87587,52.3698
POZ167M,Górnicza 2/134 60-107 Poznań,Na posesji ul. Górnicza 2/134,16.8714,52.3834
POZ240M,Leszczyńska 59 60-115 Poznań,Na posesji przy ul. Leszczyńskiej 59,16.87705,52.37293
POZ166M,Żmigrodzka 52 60-171 Poznań,Przy wjeździe na teren Noclegi Kańdulski,16.83868,52.37872
POZ261M,Ostrzeszowska 1 60-163 Poznań,Na posesji Poznań ul. Ostrzeszowska 1,16.85262,52.38711
POZ28N,Promienista 160 60-142 Poznań,Przy markecie Eurospar,16.86405,52.38652
POZ154M,Smardzewska 2 60-161 Poznań,Na parkingu przy pizzerii Szybka Pizza,16.85687,52.388
POZ109M,Grunwaldzka 248 60-166 Poznań,Przy Restauracji,16.84922,52.38798
POZ23N,Leszczyńska 3 60-115 Poznań,Na parkingu marketu Aldi,16.88147,52.37739
POZ111M,Małoszyńska 4 60-176 Poznań,teren prywatnej posesji (od ulicy Grunwaldzkiej),16.84182,52.38635
POZ45N,Grunwaldzka 279 60-166 Poznań,Przy sklepie Społem,16.84408,52.38684
POZ12HP,Jeleniogórska 1/3 60-179 Poznań,w sklepie Duży Ben,16.84913,52.39016
POZ235M,Leszczyńska 60 60-103 Poznań,Na parkingu,16.87835,52.36407
POZ108M,Ostrobramska 20 60-122 Poznań,front prywatnej posesji,16.88198,52.38358
POZ135M,Kamienna 28 61-423 Poznań,parkin prywatnej posesji,16.88784,52.37176
POZ156M,Rejewskiego 34 61-419 Poznań,"Na posesji, róg ulic Kołłątaja i Worcella",16.88642,52.37
POZ10N,Kwiatkowskiego 55 61-422 Poznań,Paczkomat umieszczony na bocznej ścianie sklepu,16.88732,52.36757
POZ93M,Kordeckiego 8A 60-131 Poznań,Kompleks garaży od ulicy Kordeckiego,16.88136,52.38655
POZ26M,Raszyńska 4 60-135 Poznań,Na terenie zielonym przy ulicy Raszyńskej 4,16.87518,52.38919
POZ89M,Okulickiego 68 61-417 Poznań,Przy sklepie Społem,16.88337,52.36383
POZ107M,Górczyńska 25 60-132 Poznań,teren kompleksu garaży,16.88569,52.38615
POZ128M,Bosa 18 60-125 Poznań,parking od ul. Bosej,16.88959,52.38314
POZ14B,Czechosłowacka 102 61-476 Poznań,Stacja paliw BP,16.89423,52.37517
POZ80M,Junacka 2 60-152 Poznań,Trawnik przy bloku mieszkalnym,16.86799,52.39046
POZ10M,Jugosłowiańska 33 60-301 Poznań,Na parkingu przy markecie ALDI,16.86683,52.39151
POZ150M,Keplera 4a 60-158 Poznań,Przy bloku mieszkalnym Keplera 4a,16.86393,52.39129
POZ110M,Babimojska 1 60-161 Poznań,teren zielony przy kontenerze spożywczym,16.85917,52.39179
POZ17A,Grunwaldzka 182 60-166 Poznań,Przy PIXEL Allegro,16.85788,52.39152
POZ98M,Kargowska 7 60-141 Poznań,Przy biurowcu,16.87628,52.39088
POZ285M,Jeleniogórska 8 60-179 Poznań,Na parkingu marketu Aldi,16.84912,52.39072
POZ81M,Jugosłowiańska 22 60-301 Poznań,Przy biurowcu,16.86334,52.39398
LBO16M,Graniczna 25 62-030 Luboń,Myjnia Lambo,16.85794,52.35097
LBO249,Kościuszki 102 62-031 Luboń,Przy sklepie Żabka,16.86587,52.3522
POZ19N,Głogowska 440 60-004 Poznań,Przy Galerii A2,16.84078,52.35383
LBO01M,Kościuszki 47 62-031 Luboń,Przy sklepie Społem,16.87095,52.35009
LBO15M,Szkolna 22 62-030 Luboń,Luboń ul. Szkolna 22,16.86684,52.34834
POZ95M,Czechosłowacka 98 61-476 Poznań,teren zielony przy bloku mieszkalnym ul. Czeremchowa 2,16.89493,52.37349
POZ03A,Czeremchowa 3-5 61-474 Poznań,Przy markecie Netto,16.89551,52.37424
POZ69N,Budziszyńska 23/27 60-178 Poznań,Przy Centrum Fitness,16.84568,52.38953
POZ10L,Grunwaldzka 366 60-171 Poznań,Na posesji przy ul. Grunwaldzkiej 366,16.83193,52.38212
POZ256M,Ścinawska 51 60-178 Poznań,Przy sklepie spożywczym,16.83862,52.39162
