,Nazwa osiedla,Powierzchnia w km2,Liczba mieszkańców*,Gęstość zaludnienia
0,"Antoninek-Zieliniec-Kobylepole","20,54",9837,"478,92"
1,Chartowo,"4,49",22110,"4924,28"
2,Fabianowo-Kotowo,"7,10",1771,"249,44"
3,Główna,"6,82",4507,"660,85"
4,Głuszyna,"14,43",3875,"268,54"
5,Górczyn,"4,33",12414,"2866,97"
6,Grunwald Południe,"3,83",23951,"6253,52"
7,Grunwald Północ,"0,76",12830,"16881,58"
8,"Jana III Sobieskiego iMarysieńki","0,79",9151,"11583,54"
9,Jeżyce,"1,98",21611,"10914,65"
10,Junikowo,"5,29",9889,"1869,38"
11,Kiekrz,"10,25",1842,"179,71"
12,"Krzesiny-Pokrzywno-Garaszewo","9,99",2265,"226,73"
13,Krzyżowniki-Smochowice,"10,71",7948,"742,11"
14,Kwiatowe,"2,31",4545,"1967,53"
15,Ławica,"13,94",7898,"566,57"
16,Morasko-Radojewo,"18,03",2774,"153,85"
17,Naramowice,"7,21",17873,"2478,92"
18,"Nowe WinogradyPołudnie","1,14",13437,"11786,84"
19,Nowe Winogrady Północ,"1,14",15369,"13481,58"
20,Nowe Winogrady Wschód,"0,47",5692,"12110,64"
21,Ogrody,"1,95",5896,"3023,59"
22,"Otrów Tumski- Śródka-Zawady-Komandoria","3,36",5942,"1768,45"
23,Piątkowo,"3,84",34066,"8871,35"
24,Rataje,"5,20",33278,"6399,62"
25,Sołacz,"5,54",4882,"881,23"
26,Stare Miasto,"3,91",24819,"6347,57"
27,Stare Winogrady,"3,48",8272,"2377,01"
28,"Starołęka-Minikowo-Marlewo","13,48",9824,"728,78"
29,Stary Grunwald,"0,63",3035,"4817,46"
30,Strzeszyn,"12,00",8665,"722,08"
31,"Szczepankowo-Spławie-Krzesinki","18,44",7563,"410,14"
32,Św. Łazarz,"3,70",29791,"8051,62"
33,Świerczewo,"3,94",13324,"3381,73"
34,Umultowo,"6,12",4481,"732,19"
35,"Warszawskie-Pomet-Maltańskie","5,85",7077,"1209,74"
36,Wilda,"6,90",26380,"3823,19"
37,Winiary,"2,17",13183,"6075,12"
38,Wola,"3,27",5175,"1582,57"
39,Zielony Dębiec,"4,12",12267,"2977,43"
40,Żegrze,"3,15",16426,"5214,60"
41,Podolany,"5,30",8528,"1609,06"
